
;set: _03_Microban.txt ;index: 0 ;moves: dlUrrrdLullddrUluRduuulDrddrruLdlU
;set: _03_Microban.txt ;index: 1 ;moves: urdddLruulDuulldd
;set: _03_Microban.txt ;index: 2 ;moves: ruuLLLulDrddlUdlluurRurDrrrddlUruLLLulrdrrdullulDllddrrrUdllluurrDrdLuuurD
;set: _03_Microban.txt ;index: 0 ;moves: dlUrrrdLullddrUluRuulDrddrruLdlU
;set: _03_Microban.txt ;index: 0 ;moves: dlUrrrdLullddrUluRuulDrddrruLdlU
;set: _03_Microban.txt ;index: 0 ;moves: dlUrrrdLullddrUluRuulDrddrruLdlU
;set: _03_Microban.txt ;index: 0 ;moves: dlUrrrdLullddrUluRuulDrddrrlrlrlrlruLdlU
;set: _03_Microban.txt ;index: 0 ;moves: dlUrrrdLullddrUluRuulDrddrruLdlU
;set: _03_Microban.txt ;index: 0 ;moves: uuldrddlUrrrdLullddrUluRuulDrddrruLdlU
;set: _03_Microban.txt ;index: 0 ;moves: dlUrrrdLullddrUluRuulDrddrruLdlU
;set: _03_Microban.txt ;index: 0 ;moves: rrlldlUrrrdLullddrUluRuulDrddrruLdlU
;set: _03_Microban.txt ;index: 1 ;moves: rddLruulDuulldd
;set: _03_Microban.txt ;index: 1 ;moves: rddLruulDuulldd
;set: _03_Microban.txt ;index: 1 ;moves: rddLruulDuulldd
;set: _03_Microban.txt ;index: 1 ;moves: rddLruulDuulldd
;set: _03_Microban.txt ;index: 0 ;moves: dlUrrrdLulldRuuulDDrddlUrurrlldlUrrrdLullddrUluRuulDrddrruLdlU
;set: _03_Microban.txt ;index: 1 ;moves: rddLruulDuulldd
;set: _03_Microban.txt ;index: 2 ;moves: ruuLLLulDrddlUdlluurRurDrrrddlUruLLLulDllddrrrUdllluurlddudrrlluurlrrDrdLuuurD
;set: _03_Microban.txt ;index: 3 ;moves: ulDrddlUruullDurrdduulldLurrrdduLLulllddrrRurrddlUruud
;set: _03_Microban.txt ;index: 1 ;moves: rddLruulDuulldd
;set: _03_Microban.txt ;index: 1 ;moves: rddLruulDuulldd
;set: _03_Microban.txt ;index: 0 ;moves: dlUrrrdLullddrUluRuulDrddrruLdlU
;set: _03_Microban.txt ;index: 1 ;moves: urdddLruulDuulldd
;set: _03_Microban.txt ;index: 2 ;moves: ruuLLLulDrddlUdlluurRurDrrrddlUruLLLulDllddrrrUdllluurrDulldduurrdrdLuuurD
;set: _05_Minicosmos.txt ;index: 0 ;moves: uuluuRlddrrruruullDudDullddrRlddrruUlu
;set: _05_Minicosmos.txt ;index: 1 ;moves: rruullluuRlddrrrddlruuurrluullDDullddrRurrrddllUluRldrddllUdrruuulullddRRur
;set: _03_Microban.txt ;index: 1 ;moves: rddLruulDuulldd
;set: _03_Microban.txt ;index: 1 ;moves: rddLdruuulDuulldd
;set: _03_Microban.txt ;index: 18 ;moves: urrDDDlddrUUUUruLLLdRurDDDlddrUUUUlllluR
;set: _05_Minicosmos.txt ;index: 2 ;moves: rruullluuRlddrrudrddllUdrruuurlrudrdduullruullDllddRRlluurrurrddrluulldllddrddrruUllluurrDullrrllrrdullddrddrruuLuuurrddrddLruuluulldd
;set: _05_Minicosmos.txt ;index: 0 ;moves: uuluuRlddrrurruullDDullddrRlddrruUlu
;set: _05_Minicosmos.txt ;index: 0 ;moves: uuluuRlddrrurruullDDullddrRlddrruUlu
